label,speech
일반적인 말,오늘 우리 마당에 귀여운 토끼가 있었어
부정적인 말,날 귀찮게 하고있어
반영,포테이토 헤드를 위한 모자이구나
지시,그림에 말을 그리렴
행동 묘사,우리는 색칠을 하고 있어
부정적인 말,색칠한 그림이 엉망이구나
부정적인 말,테이블 위에 서있는 건 용납되지 않아
반영,집에 가고 싶구나
부정적인 말,아니야
부정적인 말,이곳에서 부스러기를 떨어뜨리며 쿠를 먹지마
반영,오 호랑이구나
반영,지금 누구한테 그렇게 말하는거니
일반적인 말,하나 두개
행동 묘사,잔디를 그렸구나
일반적인 말,우리는 상담 이후에 학교에 갈거야
지시,입에서 그것을 빼
행동 묘사,지금 초록색 찰흙을 꺼내고 있구나
반영,아기 이름이 몰리구나
지시,똑바로 앉으렴
부정적인 말,아니 지금 너는 너무 거칠게 행동하고 있어
지시,내가 말하는 것을 해야해
지시,그럼 블럭을 더 가져와
일반적인 말,보라색 꽃이구나
부정적인 말,아니야 그건 말이야
일반적인 칭찬,잘 던졌어
질문,이렇게 같이 놔보면 어떨까
지시,그거 주우렴 주워 주우라고 했어 
지시,그것들 중에 하나 여기에 넣어
구체적인 칭찬,한 줄로 세운 것 잘했어
질문,놀이 할 준비가 되었니
부정적인 말,예쁘지 않다
지시,가서 단어를 찾아
행동 묘사,지금 차를 따르고 있구나
지시,장난감을 모두 정리하렴
일반적인 말,뒤집기
질문,여기에 이걸 추가해볼까
질문,그 친구도 선반에 엘프가 있구나
일반적인 말,그것은 파란 블럭이구나
일반적인 말,함께 만들고 싶어
일반적인 말,그 다음에는 알파벳 t가 와
질문,그게  좋아
지시,이 장난감을 가지고 놀자
질문,지금 무얼 하니
질문,우리는 무엇을 하고 있지
구체적인 칭찬,장난감 정리를 하는구나 잘했어
일반적인 말,파란 블럭처럼 보이는구나
구체적인 칭찬,청소를 아주 잘했어
질문,이거 이렇게 하는거니
구체적인 칭찬,아주 완벽하게 해냈어
일반적인 말,오 한 조각 가지고 있었어
일반적인 칭찬,사랑해
질문,파이를 먹는 건 어때
일반적인 말,초록색 크레용을 사용하고 있지 않구나
질문,높은 타워를 만들었니
부정적인 말,넘어지게 하지마
행동 묘사,빨간색 블럭을 노란색 블럭 위에 올렸구나
일반적인 말,저녁은 파스타를 먹을거야
일반적인 말,좁아보이네
질문,같이 바닥에 앉을까
행동 묘사,사과를 분홍색으로 색칠하고 있구나
일반적인 말,정확해
지시,차들을 이제 정리해
반영,여자아이가 침대에서 자고있구나
지시,그것을 벗는게 좋겠어
행동 묘사,듣고 있지 않구나
질문,차들은 어떤 소리를 내지
구체적인 칭찬,친절하게 놀이를 해줘서 고마워
구체적인 칭찬,초콜렛을 먹는 건 좋은 생각이야
지시,가장자리에 놓는 것을 시도해봐
일반적인 말,네가 세운 벽 옆에 나도 벽을 만들거야
지시,이제 성을 만들어보자
질문,그것은 토끼야
행동 묘사,곰을 그리고 있구나
일반적인 말,여기 하나 더 있어
지시,여기로 와
지시,한번 보자
행동 묘사,파란색 블럭을 쌓고 있구나
일반적인 말,내 인형은 빨간 스카프를 두르고 있어
지시,이걸 해
일반적인 말,부드럽게
질문,어떤게 다른 쪽이니
지시,거기에 있는 모든 몬스터 트럭은 여기에 놔 테이블을 치워야해
반영,콧수염이구나
부정적인 말,넌 절대 정리하는 것을 도와주지 않는구나
질문,로켓으로
행동 묘사,차를 앞 뒤로 움직이고 있구나
일반적인 말,빨간색 크레용이 부러졌구나
일반적인 말,청소를 이제 다 마쳤어
반영,노란색이구나
일반적인 말,그레이브디거도 있고 아이언맨도 있고 소방차와 학교버스도 있구나
일반적인 말,오 장난감이 떨어졌네
행동 묘사,내 옆에 앉았네
지시,내가 하는 말을 들어줘야 햐
일반적인 말,이 차는 다른 바퀴가 필요해
반영,아주 높아지고 있구나
지시,계속 이렇게 열심히 학교에서도 하면 에이 성적을 받을 수 있어
질문,이게 어떤 색깔이지
구체적인 칭찬,숫자를 잘 세는구나
질문,이건 어디에 놓아야 할까
반영,색칠을 많이 하고 있어
반영,꿀꺽 꿀꺽 소리가 나네
지시,포테이토 헤드 장난감 팔을 제 위치에 끼워줘
일반적인 말,그가 바닥으로 내려갔을수도 있지만 우린 그를 찾을거야
지시,내려와
지시,장난감을 골라
질문,실제로 몬스터 트럭을 본적이 있어
일반적인 말,나는 초콜렛을 먹으러 내려가고 있어
부정적인 말,그거 거기에 두는거 아니란다 얘야
구체적인 칭찬,장난감을 잘 다루는 것을 잘했어
부정적인 말,계속 아기처럼 굴거니
일반적인 칭찬,아주 창의적이구나
반영,내가 집을 지어야하는구나
지시,착하게 해야지
구체적인 칭찬,머리를 빗을 때 머리가 아주 예뻐보여
질문,무엇을 원하니
질문,닭은 어떻게 울지
부정적인 말,나쁜말을 하지 않아
일반적인 말,초록색 트럭이구나
질문,내가 분홍색 싫어하는거 알지
지시,이것 저리고 옮기자
지시,함께 나눠주세요
질문,어디에 있어
반영,말이네 갈색 말이다
일반적인 말,이 방에는 가지고 놀 장난감이 많아
부정적인 말,그거 그렇게 사용하는거 아니야 
행동 묘사,차를 움직이고 있구나
질문,멕시코는 몇시야
부정적인 말,아니 그건 빨간색이 아니고 노란색이야
일반적인 칭찬,잘했어
반영,별을 그릴 수 있구나
구체적인 칭찬,아주 멋지게 그렸구나
일반적인 칭찬,훌륭해
구체적인 칭찬,너의 순서를 기다려줘서 고마워
부정적인 말,아니야 하지마
부정적인 말,그건 빨간색이 아니야
질문,내건 하나도 없어
질문,이게 도움이 될까
반영,여기있구나 그래
반영,미스터 포테이토 헤드를 조립하고 있어
지시,장난감을 정리해
일반적인 말,할머니가 너가 주말에 나무를 올라갔다고 말씀해주셨어
구체적인 칭찬,그걸 잘 선택했어
일반적인 말,해결하니 기분이 좋아보이네
지시,종이에 이름을 먼저 써
일반적인 말,너 넘어진다
구체적인 칭찬,동물들을 돌보는 것을 잘한다
일반적인 말,여기 이거랑 같은 것 여기에 또 있어
지시,새를 가지에 올려놔
일반적인 말,그것들 그냥 둘게
행동 묘사,빨리 찾았네
일반적인 말,다른 사람이 같이 놀러 올수도 있어
행동 묘사,여자아이를 그리고 있구나
행동 묘사,조용히 놀고 있구나
일반적인 말,프렛즐을 접시에 담을거야
지시,그거 여기 가져와
일반적인 말,더 만들거야
일반적인 말,그 다음에 뭘 해야할지 모르겠어
구체적인 칭찬,멋진 집이구나
반영,학교에서 좋은 하루를 보냈구나
일반적인 말,그것들은 너무 무거워
행동 묘사,몇개 꺼냈구나
행동 묘사,나한테서 가져갔구나
지시,너가 하렴
질문,그거 어떻게 할 거야
일반적인 말,또 다른걸 찾았어
일반적인 말,혼자 해서 기분이 좋구나
반영,차를 빨리가게 하고 있구나
부정적인 말,그거 아니야
행동 묘사,우린 타워를 만들고 있어
부정적인 말,멈춰 테이블에 색칠하지마
행동 묘사,초록색 크레용을 찾았구나
일반적인 말,그래 할수 있어
행동 묘사,초록색 블럭을 먼저 놓고 있구나
반영,이제 차를 가지고 놀고 싶구나
반영,보트와 제트스를 만들고 있구나
반영,네 이름을 쓸 수 있구나
부정적인 말,아니 아니 아니
질문,이 장난감들은 뭐니
일반적인 칭찬,잘했어
반영,보트 그림을 그렸구나
일반적인 말,너의 말을 못들었어
일반적인 칭찬,네가 아주 자랑스러워
행동 묘사,자동차를 가지고 놀고 있구나
행동 묘사,모든걸 길밖으로 치우고 있구나
부정적인 말,왜 그렇게 하니
구체적인 칭찬,계속 연습을 해서 멋있게 썼구나
지시,더 높게 만들어
일반적인 말,나는 경찰서에 갈거야
행동 묘사,닭을 외양간에 넣었구나
반영,여섯 개의 블럭이 있구나
일반적인 말,내가 가지고 놀고 싶어
행동 묘사,찰흙을 휘두르고 있구나
일반적인 말,이 조각을 이렇게 할거야
일반적인 말,초록색 조각이면 될거야
부정적인 말,계속 불평하면 박스에 넣어서 중국으로 보내버릴거야
질문,다른 놀이 할까
질문,모든 사람들에게 충분하다고 생각하니
일반적인 칭찬,잘했어
부정적인 말,이건 바보같은 생각이야
구체적인 칭찬,그림이 아주 예쁘다
질문,나도 모자 써볼 수 있을까
일반적인 말,나는 다른걸 가지고 놀고 싶어
행동 묘사,그 장난감이 마음에 드는구나
질문,어디에 놓는 건지 아니
부정적인 말,아니야 그냥 말이야
